S.No, Cement (kg/m3), Fly Ash (kg/m3), Water (kg/m3), Superplasticizer (kg/m3), Coarse Aggregate (kg/m3), Fine Aggregate (kg/m3), Age (Day), Compressive Strength (MPa)
141, 246.8, 125.1, 143.3, 12, 1086.8, 800.9, 3, 23.52
142, 246.8, 125.1, 143.3, 12, 1086.8, 800.9, 14, 42.22
143, 246.8, 125.1, 143.3, 12, 1086.8, 800.9, 28, 52.5
144, 246.8, 125.1, 143.3, 12, 1086.8, 800.9, 56, 60.32
145, 246.8, 125.1, 143.3, 12, 1086.8, 800.9, 100, 66.42
146, 275.1, 121.4, 159.5, 9.9, 1053.6, 777.5, 3, 23.8
147, 275.1, 121.4, 159.5, 9.9, 1053.6, 777.5, 14, 38.77
148, 275.1, 121.4, 159.5, 9.9, 1053.6, 777.5, 28, 51.33
149, 275.1, 121.4, 159.5, 9.9, 1053.6, 777.5, 56, 56.85
150, 275.1, 121.4, 159.5, 9.9, 1053.6, 777.5, 100, 58.61
151, 297.2, 117.5, 174.8, 9.5, 1022.8, 753.5, 3, 21.91
152, 297.2, 117.5, 174.8, 9.5, 1022.8, 753.5, 14, 36.99
153, 297.2, 117.5, 174.8, 9.5, 1022.8, 753.5, 28, 47.4
154, 297.2, 117.5, 174.8, 9.5, 1022.8, 753.5, 56, 51.96
155, 297.2, 117.5, 174.8, 9.5, 1022.8, 753.5, 100, 56.74
156, 213.7, 174.7, 154.8, 10.2, 1053.5, 776.4, 3, 17.57
157, 213.7, 174.7, 154.8, 10.2, 1053.5, 776.4, 14, 33.73
158, 213.7, 174.7, 154.8, 10.2, 1053.5, 776.4, 28, 40.15
159, 213.7, 174.7, 154.8, 10.2, 1053.5, 776.4, 56, 46.64
160, 213.7, 174.7, 154.8, 10.2, 1053.5, 776.4, 100, 50.08
161, 213.5, 174.2, 154.6, 11.7, 1052.3, 775.5, 3, 17.37
162, 213.5, 174.2, 154.6, 11.7, 1052.3, 775.5, 14, 33.7
163, 213.5, 174.2, 154.6, 11.7, 1052.3, 775.5, 28, 45.94
164, 213.5, 174.2, 154.6, 11.7, 1052.3, 775.5, 56, 51.43
165, 213.5, 174.2, 154.6, 11.7, 1052.3, 775.5, 100, 59.3
166, 218.9, 124.1, 158.5, 11.3, 1078.7, 794.9, 3, 15.34
167, 218.9, 124.1, 158.5, 11.3, 1078.7, 794.9, 14, 26.05
168, 218.9, 124.1, 158.5, 11.3, 1078.7, 794.9, 28, 30.22
169, 218.9, 124.1, 158.5, 11.3, 1078.7, 794.9, 56, 37.27
170, 218.9, 124.1, 158.5, 11.3, 1078.7, 794.9, 100, 46.23
171, 376, 0, 214.6, 0, 1003.5, 762.4, 3, 16.28
172, 376, 0, 214.6, 0, 1003.5, 762.4, 14, 25.62
173, 376, 0, 214.6, 0, 1003.5, 762.4, 28, 31.97
174, 376, 0, 214.6, 0, 1003.5, 762.4, 56, 36.3
175, 376, 0, 214.6, 0, 1003.5, 762.4, 100, 43.06
176, 500, 0, 140, 4, 966, 853, 28, 67.57
177, 475, 59, 142, 1.9, 1098, 641, 28, 57.23
178, 505, 60, 195, 0, 1030, 630, 28, 64.02
179, 451, 0, 165, 11.3, 1030, 745, 28, 78.8
180, 516, 0, 162, 8.2, 801, 802, 28, 41.37
181, 520, 0, 170, 5.2, 855, 855, 28, 60.28
182, 528, 0, 185, 6.9, 920, 720, 28, 56.83
183, 520, 0, 175, 5.2, 870, 805, 28, 51.02
184, 385, 136, 158, 20, 903, 768, 28, 55.55
185, 500.1, 0, 200, 3, 1124.4, 613.2, 28, 44.13
186, 405, 0, 175, 0, 1120, 695, 28, 52.3
187, 516, 0, 162, 8.3, 801, 802, 28, 41.37
188, 475, 0, 162, 9.5, 1044, 662, 28, 58.52
189, 500, 0, 151, 9, 1033, 655, 28, 69.84
190, 165, 143.6, 163.8, 0, 1005.6, 900.9, 3, 14.4
191, 190.3, 125.2, 166.6, 9.9, 1079, 798.9, 3, 12.55
192, 250, 95.7, 191.8, 5.3, 948.9, 857.2, 3, 8.49
193, 213.5, 174.2, 159.2, 11.7, 1043.6, 771.9, 3, 15.61
194, 194.7, 100.5, 170.2, 7.5, 998, 901.8, 3, 12.18
195, 251.4, 118.3, 192.9, 5.8, 1043.6, 754.3, 3, 11.98
196, 165, 143.6, 163.8, 0, 1005.6, 900.9, 14, 16.88
197, 190.3, 125.2, 166.6, 9.9, 1079, 798.9, 14, 19.42
198, 250, 95.7, 191.8, 5.3, 948.9, 857.2, 14, 24.66
199, 213.5, 174.2, 159.2, 11.7, 1043.6, 771.9, 14, 29.59
200, 194.7, 100.5, 170.2, 7.5, 998, 901.8, 14, 24.28
201, 251.4, 118.3, 192.9, 5.8, 1043.6, 754.3, 14, 20.73
202, 165, 143.6, 163.8, 0, 1005.6, 900.9, 28, 26.2
203, 190.3, 125.2, 166.6, 9.9, 1079, 798.9, 28, 24.85
204, 250, 95.7, 191.8, 5.3, 948.9, 857.2, 28, 27.22
205, 213.5, 174.2, 159.2, 11.7, 1043.6, 771.9, 28, 44.64
206, 194.7, 100.5, 170.2, 7.5, 998, 901.8, 28, 37.27
207, 251.4, 118.3, 192.9, 5.8, 1043.6, 754.3, 28, 33.27
208, 165, 143.6, 163.8, 0, 1005.6, 900.9, 56, 36.56
209, 190.3, 125.2, 166.6, 9.9, 1079, 798.9, 56, 31.72
210, 250, 95.7, 191.8, 5.3, 948.9, 857.2, 56, 39.64
211, 213.5, 174.2, 159.2, 11.7, 1043.6, 771.9, 56, 51.26
212, 194.7, 100.5, 170.2, 7.5, 998, 901.8, 56, 43.39
213, 251.4, 118.3, 192.9, 5.8, 1043.6, 754.3, 56, 39.27
214, 165, 143.6, 163.8, 0, 1005.6, 900.9, 100, 37.96
215, 190.3, 125.2, 166.6, 9.9, 1079, 798.9, 100, 33.56
216, 250, 95.7, 191.8, 5.3, 948.9, 857.2, 100, 41.16
217, 213.5, 174.2, 159.2, 11.7, 1043.6, 771.9, 100, 52.96
218, 194.7, 100.5, 170.2, 7.5, 998, 901.8, 100, 44.28
219, 251.4, 118.3, 192.9, 5.8, 1043.6, 754.3, 100, 40.15
220, 436, 0, 218, 0, 838.4, 719.7, 28, 23.85
221, 289, 0, 192, 0, 913.2, 895.3, 90, 32.07
222, 289, 0, 192, 0, 913.2, 895.3, 3, 11.65
223, 393, 0, 192, 0, 940.6, 785.6, 3, 19.2
224, 393, 0, 192, 0, 940.6, 785.6, 90, 48.85
225, 393, 0, 192, 0, 940.6, 785.6, 28, 39.6
226, 480, 0, 192, 0, 936.2, 712.2, 28, 43.94
227, 480, 0, 192, 0, 936.2, 712.2, 7, 34.57
228, 480, 0, 192, 0, 936.2, 712.2, 90, 54.32
229, 480, 0, 192, 0, 936.2, 712.2, 3, 24.4
230, 333, 0, 192, 0, 931.2, 842.6, 3, 15.62
231, 255, 0, 192, 0, 889.8, 945, 90, 21.86
232, 255, 0, 192, 0, 889.8, 945, 7, 10.22
233, 289, 0, 192, 0, 913.2, 895.3, 7, 14.6
234, 255, 0, 192, 0, 889.8, 945, 28, 18.75
235, 333, 0, 192, 0, 931.2, 842.6, 28, 31.97
236, 333, 0, 192, 0, 931.2, 842.6, 7, 23.4
237, 289, 0, 192, 0, 913.2, 895.3, 28, 25.57
238, 333, 0, 192, 0, 931.2, 842.6, 90, 41.68
239, 393, 0, 192, 0, 940.6, 785.6, 7, 27.74
240, 255, 0, 192, 0, 889.8, 945, 3, 8.2
241, 397, 0, 185.7, 0, 1040.6, 734.3, 28, 33.08
242, 382.5, 0, 185.7, 0, 1047.8, 739.3, 7, 24.07
243, 295.8, 0, 185.7, 0, 1091.4, 769.3, 7, 14.84
244, 397, 0, 185.7, 0, 1040.6, 734.3, 7, 25.45
245, 381.4, 0, 185.7, 0, 1104.6, 784.3, 28, 22.49
246, 295.8, 0, 185.7, 0, 1091.4, 769.3, 28, 25.22
247, 238.1, 0, 185.7, 0, 1118.8, 789.3, 28, 17.58
248, 339.2, 0, 185.7, 0, 1069.2, 754.3, 7, 21.18
249, 381.4, 0, 185.7, 0, 1104.6, 784.3, 7, 14.54
250, 339.2, 0, 185.7, 0, 1069.2, 754.3, 28, 31.9
251, 238.1, 0, 185.7, 0, 1118.8, 789.3, 7, 10.34
252, 252.5, 0, 185.7, 0, 1111.6, 784.3, 28, 19.77
253, 382.5, 0, 185.7, 0, 1047.8, 739.3, 28, 37.44
254, 252.5, 0, 185.7, 0, 1111.6, 784.3, 7, 11.48
255, 339, 0, 197, 0, 968, 781, 3, 13.22
256, 339, 0, 197, 0, 968, 781, 7, 20.97
257, 339, 0, 197, 0, 968, 781, 14, 27.04
258, 339, 0, 197, 0, 968, 781, 28, 32.04
259, 339, 0, 197, 0, 968, 781, 90, 35.17
260, 339, 0, 197, 0, 968, 781, 180, 36.45
261, 339, 0, 197, 0, 968, 781, 365, 38.89
262, 236, 0, 194, 0, 968, 885, 3, 6.47
263, 236, 0, 194, 0, 968, 885, 14, 12.84
264, 236, 0, 194, 0, 968, 885, 28, 18.42
265, 236, 0, 194, 0, 968, 885, 90, 21.95
266, 236, 0, 193, 0, 968, 885, 180, 24.1
267, 236, 0, 193, 0, 968, 885, 365, 25.08
268, 277, 0, 191, 0, 968, 856, 14, 21.26
269, 277, 0, 191, 0, 968, 856, 28, 25.97
270, 277, 0, 191, 0, 968, 856, 3, 11.36
271, 277, 0, 191, 0, 968, 856, 90, 31.25
272, 277, 0, 191, 0, 968, 856, 180, 32.33
273, 277, 0, 191, 0, 968, 856, 360, 33.7
274, 254, 0, 198, 0, 968, 863, 3, 9.31
275, 254, 0, 198, 0, 968, 863, 90, 26.94
276, 254, 0, 198, 0, 968, 863, 180, 27.63
277, 254, 0, 198, 0, 968, 863, 365, 29.79
278, 307, 0, 193, 0, 968, 812, 180, 34.49
279, 307, 0, 193, 0, 968, 812, 365, 36.15
280, 307, 0, 193, 0, 968, 812, 3, 12.54
281, 307, 0, 193, 0, 968, 812, 28, 27.53
282, 307, 0, 193, 0, 968, 812, 90, 32.92
283, 236, 0, 193, 0, 968, 885, 7, 9.99
284, 200, 0, 180, 0, 1125, 845, 7, 7.84
285, 200, 0, 180, 0, 1125, 845, 28, 12.25
286, 225, 0, 181, 0, 1113, 833, 7, 11.17
287, 225, 0, 181, 0, 1113, 833, 28, 17.34
288, 325, 0, 184, 0, 1063, 783, 7, 17.54
289, 325, 0, 184, 0, 1063, 783, 28, 30.57
290, 275, 0, 183, 0, 1088, 808, 7, 14.2
291, 275, 0, 183, 0, 1088, 808, 28, 24.5
292, 300, 0, 184, 0, 1075, 795, 7, 15.58
293, 300, 0, 184, 0, 1075, 795, 28, 26.85
294, 375, 0, 186, 0, 1038, 758, 7, 26.06
295, 375, 0, 186, 0, 1038, 758, 28, 38.21
296, 400, 0, 187, 0, 1025, 745, 28, 43.7
297, 400, 0, 187, 0, 1025, 745, 7, 30.14
298, 250, 0, 182, 0, 1100, 820, 7, 12.73
299, 250, 0, 182, 0, 1100, 820, 28, 20.87
300, 350, 0, 186, 0, 1050, 770, 7, 20.28
301, 350, 0, 186, 0, 1050, 770, 28, 34.29
302, 310, 0, 192, 0, 1012, 830, 3, 11.85
303, 310, 0, 192, 0, 1012, 830, 7, 17.24
304, 310, 0, 192, 0, 1012, 830, 28, 27.83
305, 310, 0, 192, 0, 1012, 830, 90, 35.76
306, 310, 0, 192, 0, 1012, 830, 120, 38.7
307, 331, 0, 192, 0, 1025, 821, 3, 14.31
308, 331, 0, 192, 0, 1025, 821, 7, 17.44
309, 331, 0, 192, 0, 1025, 821, 28, 31.74
310, 331, 0, 192, 0, 1025, 821, 90, 37.91
311, 331, 0, 192, 0, 1025, 821, 120, 39.38
312, 349, 0, 192, 0, 1056, 809, 3, 15.87
313, 349, 0, 192, 0, 1056, 809, 7, 9.01
314, 349, 0, 192, 0, 1056, 809, 28, 33.61
315, 349, 0, 192, 0, 1056, 809, 90, 40.66
316, 349, 0, 192, 0, 1056, 809, 120, 40.86
317, 238, 0, 186, 0, 1119, 789, 7, 12.05
318, 238, 0, 186, 0, 1119, 789, 28, 17.54
319, 296, 0, 186, 0, 1090, 769, 7, 18.91
320, 296, 0, 186, 0, 1090, 769, 28, 25.18
321, 297, 0, 186, 0, 1040, 734, 7, 30.96
322, 480, 0, 192, 0, 936, 721, 28, 43.89
323, 480, 0, 192, 0, 936, 721, 90, 54.28
324, 397, 0, 186, 0, 1040, 734, 28, 36.94
325, 281, 0, 186, 0, 1104, 774, 7, 14.5
326, 281, 0, 185, 0, 1104, 774, 28, 22.44
327, 500, 0, 200, 0, 1125, 613, 1, 12.64
328, 500, 0, 200, 0, 1125, 613, 3, 26.06
329, 500, 0, 200, 0, 1125, 613, 7, 33.21
330, 500, 0, 200, 0, 1125, 613, 14, 36.94
331, 500, 0, 200, 0, 1125, 613, 28, 44.09
332, 540, 0, 173, 0, 1125, 613, 7, 52.61
333, 540, 0, 173, 0, 1125, 613, 14, 59.76
334, 540, 0, 173, 0, 1125, 613, 28, 67.31
335, 540, 0, 173, 0, 1125, 613, 90, 69.66
336, 540, 0, 173, 0, 1125, 613, 180, 71.62
337, 540, 0, 173, 0, 1125, 613, 270, 74.17
338, 350, 0, 203, 0, 974, 775, 7, 18.13
339, 350, 0, 203, 0, 974, 775, 14, 22.53
340, 350, 0, 203, 0, 974, 775, 28, 27.34
341, 350, 0, 203, 0, 974, 775, 56, 29.98
342, 350, 0, 203, 0, 974, 775, 90, 31.35
343, 350, 0, 203, 0, 974, 775, 180, 32.72
344, 385, 0, 186, 0, 966, 763, 1, 6.27
345, 385, 0, 186, 0, 966, 763, 3, 14.7
346, 385, 0, 186, 0, 966, 763, 7, 23.22
347, 385, 0, 186, 0, 966, 763, 14, 27.92
348, 385, 0, 186, 0, 966, 763, 28, 31.35
349, 331, 0, 192, 0, 978, 825, 180, 39
350, 331, 0, 192, 0, 978, 825, 360, 41.24
351, 349, 0, 192, 0, 1047, 806, 3, 14.99
352, 331, 0, 192, 0, 978, 825, 3, 13.52
353, 382, 0, 186, 0, 1047, 739, 7, 24
354, 382, 0, 186, 0, 1047, 739, 28, 37.42
355, 382, 0, 186, 0, 1111, 784, 7, 11.47
356, 281, 0, 186, 0, 1104, 774, 28, 22.44
357, 339, 0, 185, 0, 1069, 754, 7, 21.16
358, 339, 0, 185, 0, 1069, 754, 28, 31.84
359, 295, 0, 185, 0, 1069, 769, 7, 14.8
360, 295, 0, 185, 0, 1069, 769, 28, 25.18
361, 238, 0, 185, 0, 1118, 789, 28, 17.54
362, 296, 0, 192, 0, 1085, 765, 7, 14.2
363, 296, 0, 192, 0, 1085, 765, 28, 21.65
364, 296, 0, 192, 0, 1085, 765, 90, 29.39
365, 331, 0, 192, 0, 879, 825, 3, 13.52
366, 331, 0, 192, 0, 978, 825, 7, 16.26
367, 331, 0, 192, 0, 978, 825, 28, 31.45
368, 331, 0, 192, 0, 978, 825, 90, 37.23
369, 349, 0, 192, 0, 1047, 806, 7, 18.13
370, 349, 0, 192, 0, 1047, 806, 28, 32.72
371, 349, 0, 192, 0, 1047, 806, 90, 39.49
372, 349, 0, 192, 0, 1047, 806, 180, 41.05
373, 349, 0, 192, 0, 1047, 806, 360, 42.13
374, 302, 0, 203, 0, 974, 817, 14, 18.13
375, 302, 0, 203, 0, 974, 817, 180, 26.74
376, 525, 0, 189, 0, 1125, 613, 180, 61.92
377, 500, 0, 200, 0, 1125, 613, 90, 47.22
378, 500, 0, 200, 0, 1125, 613, 180, 51.04
379, 500, 0, 200, 0, 1125, 613, 270, 55.16
380, 540, 0, 173, 0, 1125, 613, 3, 41.64
381, 252, 0, 185, 0, 1111, 784, 7, 13.71
382, 252, 0, 185, 0, 1111, 784, 28, 19.69
383, 339, 0, 185, 0, 1060, 754, 28, 31.65
384, 393, 0, 192, 0, 940, 758, 3, 19.11
385, 393, 0, 192, 0, 940, 758, 28, 39.58
386, 393, 0, 192, 0, 940, 758, 90, 48.79
387, 382, 0, 185, 0, 1047, 739, 7, 24
388, 382, 0, 185, 0, 1047, 739, 28, 37.42
389, 252, 0, 186, 0, 1111, 784, 7, 11.47
390, 252, 0, 185, 0, 1111, 784, 28, 19.69
391, 310, 0, 192, 0, 970, 850, 7, 14.99
392, 310, 0, 192, 0, 970, 850, 28, 27.92
393, 310, 0, 192, 0, 970, 850, 90, 34.68
394, 310, 0, 192, 0, 970, 850, 180, 37.33
395, 310, 0, 192, 0, 970, 850, 360, 38.11
396, 525, 0, 189, 0, 1125, 613, 3, 33.8
397, 525, 0, 189, 0, 1125, 613, 7, 42.42
398, 525, 0, 189, 0, 1125, 613, 14, 48.4
399, 525, 0, 189, 0, 1125, 613, 28, 55.94
400, 525, 0, 189, 0, 1125, 613, 90, 58.78
401, 525, 0, 189, 0, 1125, 613, 270, 67.11
402, 322, 0, 203, 0, 974, 800, 14, 20.77
403, 322, 0, 203, 0, 974, 800, 28, 25.18
404, 322, 0, 203, 0, 974, 800, 180, 29.59
